DATE;AMOUNT;COUNT
23/09/2014;10080;62
24/09/2014;13688;69
25/09/2014;13656;79
26/09/2014;10512;61
27/09/2014;18088;88
28/09/2014;15400;85
29/09/2014;17424;82
30/09/2014;13320;70
01/10/2014;19248;95
02/10/2014;22160;98
03/10/2014;12376;67
04/10/2014;2712;17
05/10/2014;3352;20
06/10/2014;9752;49
07/10/2014;10080;54
08/10/2014;10088;56
09/10/2014;10608;59
10/10/2014;11720;64
11/10/2014;14992;83
12/10/2014;11408;64
13/10/2014;9664;52
14/10/2014;11520;69
15/10/2014;11688;68
16/10/2014;7816;46
17/10/2014;7952;51
18/10/2014;13320;79
19/10/2014;14080;73
20/10/2014;12496;73
21/10/2014;12264;68
22/10/2014;16328;77
23/10/2014;10768;58
24/10/2014;11272;59
25/10/2014;11264;62
26/10/2014;9544;57
27/10/2014;12272;68
28/10/2014;9008;58
29/10/2014;9128;60
30/10/2014;13312;77
31/10/2014;16552;79
01/11/2014;20288;116
02/11/2014;14584;75
03/11/2014;15584;77
04/11/2014;13752;67
05/11/2014;12704;68
06/11/2014;7456;41
07/11/2014;9240;55
08/11/2014;21256;120
09/11/2014;15272;90
10/11/2014;13784;73
11/11/2014;6808;38
12/11/2014;9928;50
13/11/2014;4608;28
14/11/2014;0;0
15/11/2014;0;0
16/11/2014;0;0
17/11/2014;1576;7
18/11/2014;4784;28
19/11/2014;4920;26
20/11/2014;10136;55
21/11/2014;6872;32
22/11/2014;11376;63
23/11/2014;11352;61
24/11/2014;12056;63
25/11/2014;8752;48
26/11/2014;9544;61
27/11/2014;6472;39
28/11/2014;14312;77
29/11/2014;16352;78
30/11/2014;14632;81
01/12/2014;13824;76
02/12/2014;13944;61
03/12/2014;14816;79
04/12/2014;14376;66
05/12/2014;9920;50
06/12/2014;13696;78
07/12/2014;12488;72
08/12/2014;15480;69
09/12/2014;7192;47
10/12/2014;13776;65
11/12/2014;11096;53
12/12/2014;9832;58
13/12/2014;17064;93
14/12/2014;9856;71
15/12/2014;12472;57
16/12/2014;11496;55
17/12/2014;10376;56
18/12/2014;11984;59
19/12/2014;10288;52
20/12/2014;16360;87
21/12/2014;3920;27
22/12/2014;12376;68
23/12/2014;7640;46
24/12/2014;9384;47
25/12/2014;15400;74
26/12/2014;13696;68
27/12/2014;7656;41
28/12/2014;1528;12
29/12/2014;14264;77
30/12/2014;15312;77
31/12/2014;11264;62
01/01/2015;9896;45
02/01/2015;16680;89
03/01/2015;10368;54
04/01/2015;12816;79
05/01/2015;15640;85
06/01/2015;12304;62
07/01/2015;11040;62
08/01/2015;9544;53
09/01/2015;8520;44
10/01/2015;5176;34
11/01/2015;0;0
12/01/2015;12080;57
13/01/2015;10320;59
14/01/2015;17376;85
15/01/2015;9920;52
16/01/2015;10520;57
17/01/2015;8584;38
18/01/2015;4664;33
19/01/2015;13472;65
20/01/2015;13152;58
21/01/2015;6368;39
22/01/2015;10752;51
23/01/2015;10712;55
24/01/2015;15672;82
25/01/2015;6848;44
26/01/2015;11280;63
27/01/2015;9720;53
28/01/2015;10064;54
29/01/2015;6752;40
30/01/2015;11488;58
31/01/2015;4424;20
01/02/2015;0;0
02/02/2015;17304;85
03/02/2015;10368;57
04/02/2015;9240;48
05/02/2015;9432;47
06/02/2015;11008;56
07/02/2015;13112;67
08/02/2015;11776;62
09/02/2015;8704;46
10/02/2015;8944;55
11/02/2015;3168;17
12/02/2015;5072;34
