date;a_withdr
01/09/2016;64420
02/09/2016;63110
03/09/2016;61630
04/09/2016;61600
05/09/2016;51370
06/09/2016;40800
07/09/2016;37950
08/09/2016;32420
09/09/2016;29630
10/09/2016;22990
11/09/2016;30200
12/09/2016;41270
13/09/2016;49470
14/09/2016;59140
15/09/2016;65060
16/09/2016;65210
17/09/2016;69150
18/09/2016;68710
19/09/2016;63850
20/09/2016;63610
21/09/2016;69020
22/09/2016;79620
23/09/2016;96650
24/09/2016;108360
25/09/2016;118230
26/09/2016;132980
27/09/2016;138620
28/09/2016;131250
29/09/2016;119930
30/09/2016;103880
01/10/2016;95080
02/10/2016;87140
03/10/2016;80820
04/10/2016;75580
05/10/2016;76520
06/10/2016;70380
07/10/2016;69690
08/10/2016;64750
09/10/2016;63930
10/10/2016;59130
11/10/2016;64380
12/10/2016;60650
13/10/2016;72480
14/10/2016;74320
15/10/2016;76830
16/10/2016;81260
17/10/2016;83900
18/10/2016;77070
19/10/2016;82760
20/10/2016;78420
21/10/2016;82220
22/10/2016;85790
23/10/2016;78040
24/10/2016;91050
25/10/2016;116300
26/10/2016;127660
27/10/2016;126530
28/10/2016;124160
29/10/2016;111590
30/10/2016;107030
31/10/2016;84860
01/11/2016;63400
02/11/2016;51580
03/11/2016;49380
04/11/2016;50070
05/11/2016;55760
06/11/2016;66930
07/11/2016;72490
08/11/2016;71410
09/11/2016;71950
10/11/2016;73440
11/11/2016;77580
12/11/2016;82660
13/11/2016;83310
14/11/2016;86870
15/11/2016;91570
16/11/2016;86650
17/11/2016;89000
18/11/2016;89170
19/11/2016;85510
20/11/2016;82570
21/11/2016;85280
22/11/2016;80010
23/11/2016;96030
24/11/2016;103430
25/11/2016;103670
26/11/2016;109750
27/11/2016;105080
28/11/2016;100070
29/11/2016;103360
30/11/2016;92190
01/12/2016;80090
02/12/2016;78670
03/12/2016;69450
04/12/2016;68980
05/12/2016;68050
06/12/2016;62580
07/12/2016;57670
08/12/2016;59580
09/12/2016;53450
10/12/2016;51190
11/12/2016;50340
12/12/2016;52780
13/12/2016;60830
14/12/2016;65140
15/12/2016;65000
16/12/2016;71230
17/12/2016;84880
18/12/2016;89610
19/12/2016;96290
20/12/2016;97630
21/12/2016;106700
