date;a_withdr
25/11/2014;1670
26/11/2014;730
27/11/2014;400
28/11/2014;1250
29/11/2014;2670
30/11/2014;1640
01/12/2014;1160
02/12/2014;2960
03/12/2014;970
04/12/2014;1690
05/12/2014;1850
06/12/2014;0
07/12/2014;0
08/12/2014;0
09/12/2014;0
10/12/2014;0
11/12/2014;0
12/12/2014;0
13/12/2014;0
14/12/2014;0
15/12/2014;0
16/12/2014;0
17/12/2014;190
18/12/2014;900
19/12/2014;1230
20/12/2014;1500
21/12/2014;1160
22/12/2014;480
23/12/2014;1150
24/12/2014;450
25/12/2014;1380
26/12/2014;1500
27/12/2014;1650
28/12/2014;510
29/12/2014;790
30/12/2014;200
31/12/2014;1300
01/01/2015;3300
02/01/2015;2220
03/01/2015;680
04/01/2015;2850
05/01/2015;2180
06/01/2015;2150
07/01/2015;900
08/01/2015;2000
09/01/2015;1530
10/01/2015;1330
11/01/2015;900
12/01/2015;920
13/01/2015;1320
14/01/2015;1440
15/01/2015;1070
16/01/2015;1980
17/01/2015;2330
18/01/2015;350
19/01/2015;1650
20/01/2015;1230
21/01/2015;2150
22/01/2015;2050
23/01/2015;2130
24/01/2015;2940
25/01/2015;3350
26/01/2015;2820
27/01/2015;370
28/01/2015;1950
29/01/2015;1590
30/01/2015;900
31/01/2015;1000
01/02/2015;1570
02/02/2015;580
03/02/2015;2150
04/02/2015;280
05/02/2015;850
06/02/2015;3240
07/02/2015;0
08/02/2015;850
09/02/2015;1290
10/02/2015;1100
11/02/2015;970
12/02/2015;1170
13/02/2015;520
14/02/2015;530
15/02/2015;870
16/02/2015;1630
17/02/2015;2350
18/02/2015;950
19/02/2015;0
20/02/2015;2680
21/02/2015;1970
22/02/2015;1050
23/02/2015;700
24/02/2015;630
25/02/2015;300
26/02/2015;2480
27/02/2015;1110
28/02/2015;2930
01/03/2015;1820
02/03/2015;2840
03/03/2015;1180
04/03/2015;1460
05/03/2015;780
06/03/2015;1210
07/03/2015;1500
08/03/2015;200
09/03/2015;1770
10/03/2015;1120
11/03/2015;850
12/03/2015;640
13/03/2015;1660
14/03/2015;2050
15/03/2015;2350
16/03/2015;210
17/03/2015;550
18/03/2015;0
19/03/2015;1340
20/03/2015;1860
21/03/2015;0
22/03/2015;0
23/03/2015;40
24/03/2015;1260
25/03/2015;780
26/03/2015;1550
27/03/2015;2860
28/03/2015;1910
29/03/2015;1790
30/03/2015;1250
31/03/2015;1950
01/04/2015;3460
02/04/2015;0
03/04/2015;0
04/04/2015;360
05/04/2015;440
06/04/2015;1480
07/04/2015;1510
08/04/2015;2800
09/04/2015;2070
10/04/2015;2450
11/04/2015;3280
12/04/2015;750
13/04/2015;1550
14/04/2015;530
15/04/2015;700
16/04/2015;1100
17/04/2015;2000
18/04/2015;1750
19/04/2015;1170
20/04/2015;2040
21/04/2015;1060
22/04/2015;2010
23/04/2015;1120
24/04/2015;3210
25/04/2015;1130
26/04/2015;1450
27/04/2015;1600
28/04/2015;850
29/04/2015;1920
30/04/2015;810
01/05/2015;1780
02/05/2015;3420
03/05/2015;2400
04/05/2015;2740
05/05/2015;2550
06/05/2015;2390
07/05/2015;2940
08/05/2015;890
09/05/2015;3070
10/05/2015;1570
11/05/2015;220
12/05/2015;1920
13/05/2015;2160
14/05/2015;2150
15/05/2015;980
16/05/2015;1420
17/05/2015;1830
18/05/2015;2510
19/05/2015;800
20/05/2015;1350
21/05/2015;2290
22/05/2015;2820
23/05/2015;2090
24/05/2015;2030
25/05/2015;2430
26/05/2015;1120
27/05/2015;2570
28/05/2015;1030
29/05/2015;2010
30/05/2015;2440
31/05/2015;1570
01/06/2015;1620
02/06/2015;3730
03/06/2015;3130
04/06/2015;3400
05/06/2015;1080
06/06/2015;1340
07/06/2015;330
08/06/2015;3310
09/06/2015;1390
10/06/2015;1740
11/06/2015;1880
12/06/2015;1070
13/06/2015;1340
14/06/2015;2520
15/06/2015;1800
16/06/2015;260
17/06/2015;700
18/06/2015;2180
19/06/2015;1880
20/06/2015;2420
21/06/2015;2500
22/06/2015;2180
23/06/2015;3360
24/06/2015;3060
25/06/2015;720
26/06/2015;920
27/06/2015;870
28/06/2015;440
29/06/2015;200
30/06/2015;710
01/07/2015;1400
02/07/2015;2720
03/07/2015;1580
04/07/2015;1730
05/07/2015;1570
06/07/2015;1610
07/07/2015;1990
08/07/2015;1330
09/07/2015;330
10/07/2015;0
11/07/2015;0
12/07/2015;0
13/07/2015;0
14/07/2015;1970
15/07/2015;1080
16/07/2015;1350
17/07/2015;930
18/07/2015;2690
19/07/2015;2220
20/07/2015;2050
21/07/2015;1350
22/07/2015;1120
23/07/2015;1470
24/07/2015;3190
25/07/2015;5010
26/07/2015;4720
27/07/2015;3180
28/07/2015;3200
29/07/2015;1070
30/07/2015;2450
31/07/2015;2750
01/08/2015;4440
02/08/2015;4150
03/08/2015;3390
04/08/2015;4230
05/08/2015;3710
06/08/2015;6490
07/08/2015;3130
08/08/2015;3160
09/08/2015;1990
10/08/2015;2040
11/08/2015;3880
12/08/2015;2140
13/08/2015;3560
14/08/2015;3220
15/08/2015;7130
16/08/2015;1950
17/08/2015;3360
18/08/2015;2690
19/08/2015;1380
20/08/2015;2100
21/08/2015;4720
22/08/2015;3500
23/08/2015;3280
24/08/2015;1540
25/08/2015;1860
26/08/2015;1670
27/08/2015;1350
28/08/2015;1650
29/08/2015;3130
30/08/2015;2240
31/08/2015;1860
01/09/2015;400
02/09/2015;100
03/09/2015;0
04/09/2015;0
05/09/2015;0
06/09/2015;0
07/09/2015;2320
08/09/2015;1400
09/09/2015;1000
10/09/2015;1160
11/09/2015;690
12/09/2015;1090
13/09/2015;2120
14/09/2015;1570
15/09/2015;1080
16/09/2015;350
17/09/2015;2520
18/09/2015;2050
19/09/2015;1630
20/09/2015;1700
21/09/2015;320
22/09/2015;750
23/09/2015;1530
24/09/2015;500
25/09/2015;900
26/09/2015;210
27/09/2015;370
28/09/2015;600
29/09/2015;1610
30/09/2015;1970
01/10/2015;860
02/10/2015;1370
03/10/2015;2230
04/10/2015;900
05/10/2015;810
06/10/2015;720
07/10/2015;740
08/10/2015;520
09/10/2015;1690
10/10/2015;500
11/10/2015;800
12/10/2015;850
13/10/2015;810
14/10/2015;530
15/10/2015;600
16/10/2015;1640
17/10/2015;710
18/10/2015;400
19/10/2015;420
20/10/2015;360
21/10/2015;520
22/10/2015;900
23/10/2015;1200
24/10/2015;1060
25/10/2015;1250
26/10/2015;550
27/10/2015;300
28/10/2015;1340
29/10/2015;1350
30/10/2015;0
31/10/2015;750
01/11/2015;100
02/11/2015;2440
03/11/2015;1170
04/11/2015;130
05/11/2015;470
