date;a_withdr
01/01/2014;7770
02/01/2014;17270
03/01/2014;15480
04/01/2014;15350
05/01/2014;9430
06/01/2014;13010
07/01/2014;10410
08/01/2014;8430
09/01/2014;12750
10/01/2014;15550
11/01/2014;13220
12/01/2014;10860
13/01/2014;11530
14/01/2014;12970
15/01/2014;13770
16/01/2014;10740
17/01/2014;11790
18/01/2014;11860
19/01/2014;7900
20/01/2014;8840
21/01/2014;22620
22/01/2014;50000
23/01/2014;29520
24/01/2014;31250
25/01/2014;22900
26/01/2014;14830
27/01/2014;23240
28/01/2014;15020
29/01/2014;19010
30/01/2014;15980
31/01/2014;9960
01/02/2014;14320
02/02/2014;12600
03/02/2014;14460
04/02/2014;12620
05/02/2014;12020
06/02/2014;10780
07/02/2014;10940
08/02/2014;14680
09/02/2014;9290
10/02/2014;8380
11/02/2014;4820
12/02/2014;11520
13/02/2014;10270
14/02/2014;8680
15/02/2014;13070
16/02/2014;5080
17/02/2014;12240
18/02/2014;7710
19/02/2014;18360
20/02/2014;41430
21/02/2014;31590
22/02/2014;19440
23/02/2014;11520
24/02/2014;18080
25/02/2014;34150
26/02/2014;24800
27/02/2014;18090
28/02/2014;18280
01/03/2014;18570
02/03/2014;13860
03/03/2014;15770
04/03/2014;12210
05/03/2014;10340
06/03/2014;11600
07/03/2014;9950
08/03/2014;11060
09/03/2014;7800
10/03/2014;12370
11/03/2014;11520
12/03/2014;10420
13/03/2014;9610
14/03/2014;8480
15/03/2014;11960
16/03/2014;9430
17/03/2014;14290
18/03/2014;15310
19/03/2014;37300
20/03/2014;17060
21/03/2014;23430
22/03/2014;13160
23/03/2014;11470
24/03/2014;13510
25/03/2014;24740
26/03/2014;24110
27/03/2014;20480
28/03/2014;22550
29/03/2014;19920
30/03/2014;12180
31/03/2014;8010
01/04/2014;17100
02/04/2014;14610
03/04/2014;15690
04/04/2014;12060
05/04/2014;13530
06/04/2014;10720
07/04/2014;11980
08/04/2014;12890
09/04/2014;10190
10/04/2014;11590
11/04/2014;9320
12/04/2014;10840
13/04/2014;10240
14/04/2014;10980
15/04/2014;13460
16/04/2014;10680
17/04/2014;18160
18/04/2014;25170
19/04/2014;30690
20/04/2014;16800
21/04/2014;23880
22/04/2014;25070
23/04/2014;23150
24/04/2014;28610
25/04/2014;22450
26/04/2014;18380
27/04/2014;12920
28/04/2014;21000
29/04/2014;22590
30/04/2014;13290
01/05/2014;19670
02/05/2014;16940
03/05/2014;14870
04/05/2014;12710
05/05/2014;14400
06/05/2014;11310
07/05/2014;9460
08/05/2014;12410
09/05/2014;13170
10/05/2014;11940
11/05/2014;9790
12/05/2014;7770
13/05/2014;7700
14/05/2014;9040
15/05/2014;10580
16/05/2014;12130
17/05/2014;22110
18/05/2014;15260
19/05/2014;21980
20/05/2014;25260
21/05/2014;27470
22/05/2014;32300
23/05/2014;20990
24/05/2014;24600
25/05/2014;17310
26/05/2014;23670
27/05/2014;21060
28/05/2014;12240
29/05/2014;14940
30/05/2014;18950
31/05/2014;15290
01/06/2014;11940
02/06/2014;14030
03/06/2014;11650
04/06/2014;14610
05/06/2014;17030
06/06/2014;13450
07/06/2014;13630
08/06/2014;9670
09/06/2014;13000
10/06/2014;11410
11/06/2014;11300
12/06/2014;12710
13/06/2014;10030
14/06/2014;13830
15/06/2014;10060
16/06/2014;10510
17/06/2014;12270
18/06/2014;31680
19/06/2014;35750
20/06/2014;29910
21/06/2014;22740
22/06/2014;16360
23/06/2014;20920
24/06/2014;32490
25/06/2014;30040
26/06/2014;26920
